NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio
4773352549521454,0,1,52,M,RS009,Z34.0,73.0,1,1,2,9375441,2024-01-27,2024-03-04,auto,800000,11.71930125
0448266963509804,0,1,52,F,RS005,H25.9,13.4,2,1,0,9165067,2024-01-08,2024-03-04,auto,7500000,1.2220089333333333
1932837844152572,1,1,80,M,RS001,A09,45.23,2,1,0,6761354,2024-02-14,2024-03-05,auto,1300000,5.2010415384615385
2849295304957500,1,1,47,F,RS008,I25.1,36.15,1,1,3,2629871,2024-01-11,2024-03-05,auto,5000000,0.5259742
0853312808902937,1,0,21,F,RS005,E66.9,99.28,2,3,2,4953744,2024-02-26,2024-03-05,auto,1000000,4.953744
0858583419393429,1,0,31,M,RS006,A09,45.23,3,4,2,4991945,2024-02-21,2024-03-07,manual,1300000,3.839957692307692
9389866854122713,1,1,55,M,RS007,Z03.8,93.91,2,3,0,5661077,2024-02-29,2024-03-11,auto,1200000,4.717564166666667
0696230795231362,1,1,62,M,RS003,E11,99.10,2,2,2,7789495,2024-01-12,2024-03-14,manual,2500000,3.115798
2225364991885311,1,1,48,M,RS001,I25.1,36.15,2,4,3,3894175,2024-01-04,2024-03-14,manual,5000000,0.778835
5379318419097792,1,0,12,F,RS002,Z34.0,73.0,2,4,3,2863222,2024-02-09,2024-03-14,manual,800000,3.5790275
6958115592991254,1,0,44,F,RS007,A09,45.23,3,3,1,6662498,2024-02-10,2024-03-15,manual,1300000,5.124998461538461
2744218297522063,1,1,27,F,RS003,I25.1,36.15,1,4,1,1118283,2024-01-10,2024-03-18,auto,5000000,0.2236566
8088580042537141,1,1,14,M,RS009,E11,99.10,3,1,1,4792350,2024-01-09,2024-03-19,auto,2500000,1.91694
0955641672780563,1,1,44,F,RS001,I10,99.04,3,4,3,532654,2024-01-01,2024-03-19,auto,2000000,0.266327
7052530558642372,1,0,9,F,RS005,Z34.0,73.0,2,1,2,9485769,2024-01-23,2024-03-19,manual,800000,11.85721125
3729451114764061,1,0,12,F,RS001,H25.9,13.5,2,2,0,9951337,2024-01-03,2024-03-19,manual,7500000,1.3268449333333334
6431099747463069,1,1,21,M,RS004,I25.1,36.15,3,2,0,4421646,2024-02-01,2024-03-20,manual,5000000,0.8843292
2320546260898625,1,1,65,M,RS001,R10.4,87.09,3,4,0,3802829,2024-03-09,2024-03-21,manual,1200000,3.1690241666666665
8219600145167686,1,1,28,M,RS009,I10,99.04,1,3,2,4874128,2024-03-16,2024-03-22,auto,2000000,2.437064
5242892784396581,1,0,79,F,RS002,M54.5,93.39,2,2,0,2341081,2024-03-13,2024-03-22,manual,1800000,1.3006005555555555
1316035841729272,1,1,22,M,RS003,J18.9,96.04,1,4,1,779670,2024-01-30,2024-03-22,auto,4200000,0.1856357142857143
5841584031436177,0,1,62,M,RS002,I25.1,36.15,3,1,6,6135092,2024-01-09,2024-03-23,manual,5000000,1.2270184
0326719475238460,1,1,60,M,RS010,J18.9,93.94,2,4,0,2138161,2024-02-26,2024-03-23,manual,4200000,0.5090859523809523
7166026159058753,1,1,6,M,RS001,M54.5,93.39,1,1,0,3922076,2024-03-07,2024-03-23,auto,1800000,2.178931111111111
3311804666529293,1,0,41,F,RS010,Z34.0,73.0,3,3,3,469467,2024-01-01,2024-03-23,manual,800000,0.58683375
8603255609643840,1,1,14,M,RS002,K21.0,45.16,3,4,1,4686285,2024-02-24,2024-03-25,manual,1400000,3.3473464285714285
3677987654139401,1,1,89,F,RS009,O80,72.0,2,2,2,5634794,2024-03-16,2024-03-25,manual,3500000,1.6099411428571428
7210520182685066,1,1,73,M,RS009,K29.7,45.16,1,4,1,8210538,2024-01-22,2024-03-26,manual,1700000,4.829728235294118
0564307949727894,0,0,41,F,RS006,E66.9,99.28,1,3,3,6387123,2024-02-17,2024-03-26,manual,1000000,6.387123
6088403484245749,0,0,25,F,RS006,E66.9,99.28,2,4,1,2222551,2024-03-13,2024-03-26,manual,1000000,2.222551
6710404581844859,1,0,22,M,RS005,J45.9,93.96,3,2,3,2058057,2024-01-04,2024-03-26,auto,2300000,0.8948073913043478
5922076436130139,1,1,75,F,RS009,K29.7,45.16,3,2,1,9411292,2024-01-26,2024-03-27,auto,1700000,5.536054117647059
5578394002578195,1,1,86,F,RS008,A09,45.23,3,3,2,7672703,2024-02-26,2024-03-27,auto,1300000,5.902079230769231
8675668065807341,0,1,25,M,RS008,J00,93.9,3,1,1,5513246,2024-02-01,2024-03-29,auto,500000,11.026492
2827645188709924,1,1,11,F,RS008,J18.9,93.94,3,4,1,4372801,2024-02-19,2024-03-30,auto,4200000,1.0411430952380953
2469424367291430,1,1,66,M,RS005,Z34.0,73.0,1,2,2,9364664,2024-03-09,2024-04-01,auto,800000,11.70583
3671485102522417,1,1,76,F,RS008,R50.9,99.19,2,4,0,6295705,2024-02-14,2024-04-03,auto,1000000,6.295705
6534406524227827,0,1,20,M,RS006,Z34.0,73.0,1,3,4,9413347,2024-01-24,2024-04-04,auto,800000,11.76668375
2625317558403859,1,1,24,F,RS010,A09,45.23,2,2,1,6522707,2024-01-11,2024-04-05,auto,1300000,5.017466923076923
6848019516988740,0,1,1,M,RS008,O80,72.0,1,1,2,8870307,2024-01-05,2024-04-05,auto,3500000,2.5343734285714286
1393356349247128,1,1,66,F,RS005,M54.5,93.39,2,2,0,8522963,2024-03-11,2024-04-05,auto,1800000,4.734979444444445
6350804304016749,0,1,30,M,RS009,Z00.0,93.99,3,3,0,9264567,2024-02-01,2024-04-06,manual,700000,13.235095714285714
4657436164816575,1,1,82,M,RS010,R10.4,87.09,3,1,0,3882527,2024-02-28,2024-04-06,manual,1200000,3.2354391666666666
0759329526027876,1,1,47,F,RS001,Z34.0,73.0,1,3,3,6134496,2024-01-27,2024-04-08,auto,800000,7.66812
1756839619701697,1,1,33,F,RS005,I25.1,36.15,3,2,2,1931952,2024-02-28,2024-04-08,auto,5000000,0.3863904
1997123657850108,0,1,46,M,RS001,N39.0,57.94,1,3,0,874496,2024-01-13,2024-04-08,auto,2200000,0.3974981818181818
1768728326038367,1,1,20,F,RS010,E66.9,99.28,1,2,1,6774796,2024-02-09,2024-04-09,manual,1000000,6.774796
8078806926248836,1,1,78,F,RS006,E11,99.10,2,2,1,6284883,2024-02-19,2024-04-09,auto,2500000,2.5139532
7744547414875528,1,1,15,M,RS006,Z34.0,73.0,1,4,1,6016300,2024-03-22,2024-04-09,manual,800000,7.520375
9070692749547225,1,1,11,F,RS006,Z03.8,93.91,1,4,0,7430572,2024-01-01,2024-04-10,manual,1200000,6.192143333333333
8765410831707621,1,1,14,M,RS005,Z34.0,73.0,3,2,1,1234745,2024-01-03,2024-04-10,auto,800000,1.54343125
5798574019483136,0,1,72,M,RS008,E11,99.10,2,4,2,7472275,2024-01-25,2024-04-10,auto,2500000,2.98891
8420621456486243,1,1,43,M,RS009,J00,93.9,2,3,1,4661452,2024-04-02,2024-04-12,manual,500000,9.322904
4307467540743433,0,0,31,M,RS002,J45.9,93.96,1,4,1,3530591,2024-04-01,2024-04-12,auto,2300000,1.5350395652173914
3956183799163794,1,1,54,M,RS008,J00,93.9,3,3,1,1526447,2024-02-17,2024-04-13,manual,500000,3.052894
1505327285243202,0,0,15,F,RS004,I10,99.04,1,3,3,8955367,2024-03-25,2024-04-15,manual,2000000,4.4776835
9357517341908657,1,0,46,M,RS004,K21.0,45.16,1,4,0,2179675,2024-02-29,2024-04-15,auto,1400000,1.5569107142857144
1319383808572015,1,1,74,F,RS009,M54.5,93.39,2,4,0,8177658,2024-01-16,2024-04-16,auto,1800000,4.543143333333333
8283463129859529,1,1,48,M,RS003,K21.0,45.16,3,1,1,3575974,2024-03-11,2024-04-16,auto,1400000,2.554267142857143
3042648763683951,1,1,86,M,RS005,J00,93.9,3,2,1,9640487,2024-04-19,2024-04-21,auto,500000,19.280974
0453869805889248,1,1,35,F,RS008,K29.7,45.16,3,3,3,446796,2024-03-09,2024-04-17,auto,1700000,0.2628211764705882
5130185890995689,1,1,56,F,RS002,Z03.8,93.91,2,4,0,4410189,2024-04-03,2024-04-17,manual,1200000,3.6751575
1456379441744140,0,1,43,F,RS010,Z03.8,93.91,3,4,0,555440,2024-01-04,2024-04-18,auto,1200000,0.46286666666666665
3960286269178819,1,1,76,M,RS004,Z03.8,93.91,2,1,0,1599250,2024-03-28,2024-04-18,auto,1200000,1.3327083333333334
2913539596413669,1,0,61,M,RS002,I10,99.04,2,2,3,3157941,2024-01-13,2024-04-19,manual,2000000,1.5789705
3374573990747047,1,0,67,F,RS006,H25.9,13.4,2,2,0,892647,2024-02-01,2024-04-19,manual,7500000,0.1190196
5451421936532868,1,1,86,M,RS008,Z00.0,93.99,2,4,1,6988802,2024-01-29,2024-04-19,manual,700000,9.984002857142857
5519825488340102,1,1,46,F,RS007,E11,99.10,2,3,2,8315626,2024-02-06,2024-04-20,auto,2500000,3.3262504
2471692572190061,1,1,29,F,RS007,H25.9,13.4,2,2,0,3351418,2024-04-15,2024-04-22,manual,7500000,0.44685573333333334
0565829225677991,1,0,88,M,RS004,M54.5,93.39,3,3,2,499124,2024-03-25,2024-04-22,manual,1800000,0.2772911111111111
8706521065904296,1,1,57,M,RS008,M54.5,93.39,2,4,1,7855966,2024-03-11,2024-04-23,manual,1800000,4.364425555555555
0171165777125727,1,1,11,F,RS003,Z03.8,93.91,1,3,0,9722448,2024-01-16,2024-04-23,auto,1200000,8.10204
0174780121696796,1,0,30,F,RS005,Z03.8,93.91,2,3,1,1122879,2024-02-17,2024-04-23,auto,1200000,0.9357325
1053801873199946,1,1,35,F,RS001,Z34.0,73.0,2,1,2,5088638,2024-01-31,2024-04-23,auto,800000,6.3607975
5961489387224392,1,0,20,M,RS007,Z00.0,93.99,2,2,1,3571670,2024-01-26,2024-04-24,auto,700000,5.102385714285714
4864587582161966,1,1,62,F,RS006,E11,99.10,1,3,1,7904070,2024-03-21,2024-04-24,manual,2500000,3.161628
9571041144585043,1,0,83,M,RS001,A09,45.23,1,4,0,7916250,2024-02-17,2024-04-25,auto,1300000,6.089423076923077
6862512011531669,0,1,66,M,RS008,Z00.0,93.99,1,1,0,4306462,2024-04-18,2024-04-25,manual,700000,6.152088571428571
5488594253824256,0,1,64,F,RS006,O80,72.0,3,3,2,7160637,2024-02-14,2024-04-25,manual,3500000,2.0458962857142855
8831120919280719,0,1,72,F,RS004,R50.9,99.19,1,3,1,6791738,2024-02-06,2024-04-29,auto,1000000,6.791738
5704342100938651,1,0,69,F,RS001,R10.4,87.09,1,1,1,842240,2024-04-02,2024-04-30,auto,1200000,0.7018666666666666
4403011660353733,1,1,63,F,RS006,J18.9,96.04,2,3,1,4497222,2024-04-01,2024-04-30,auto,4200000,1.0707671428571428
1284714726951048,1,1,22,M,RS002,A09,45.23,2,3,0,9562036,2024-01-29,2024-04-30,auto,1300000,7.3554123076923075
8092679456933417,1,1,57,M,RS004,K21.0,45.16,5,1,0,8830657,2024-01-09,2024-05-01,manual,1400000,6.307612142857143
1804694688765683,1,1,48,M,RS005,Z00.0,93.99,2,3,0,6545315,2024-01-19,2024-05-01,manual,700000,9.35045
6823981214154266,1,0,41,M,RS008,M54.5,93.39,2,3,1,4454216,2024-03-20,2024-05-01,manual,1800000,2.4745644444444443
5621396989972660,0,1,90,F,RS005,J00,93.9,3,4,1,8493125,2024-01-23,2024-05-02,manual,500000,16.98625
9240270630048667,1,0,39,M,RS001,Z00.0,93.99,2,4,0,2212157,2024-02-16,2024-05-02,auto,700000,3.160224285714286
3861297914008947,0,1,76,F,RS004,J18.9,96.04,1,1,0,5411110,2024-02-07,2024-05-03,auto,4200000,1.2883595238095238
9879803914199190,1,1,54,M,RS007,Z34.0,73.0,1,3,2,3498180,2024-03-13,2024-05-03,manual,800000,4.372725
0830934471641562,1,1,70,F,RS003,O80,72.0,1,4,1,6656044,2024-03-13,2024-05-03,auto,3500000,1.9017268571428572
7964973566431670,0,1,34,M,RS002,O80,72.0,2,2,2,4237247,2024-03-08,2024-05-04,auto,3500000,1.210642
1835329830185950,1,1,54,F,RS002,I10,99.04,2,4,2,3257935,2024-03-08,2024-05-06,manual,2000000,1.6289675
6298405903376682,1,1,80,M,RS007,N39.0,57.94,2,2,0,6153781,2024-02-27,2024-05-06,auto,2200000,2.7971731818181818
5057408363979261,1,1,14,F,RS010,E11,99.10,1,1,0,9936347,2024-03-18,2024-05-06,manual,2500000,3.9745388
0470465187969650,1,1,81,F,RS010,J00,93.9,1,4,4,4646587,2024-02-21,2024-05-07,auto,500000,9.293174
7960552506623511,1,1,77,F,RS009,Z00.0,93.99,3,3,0,541577,2024-03-25,2024-05-07,manual,700000,0.7736814285714285
4412476244484100,1,1,4,F,RS006,J45.9,93.96,1,3,0,7617274,2024-01-05,2024-05-09,auto,2300000,3.311858260869565
1804694688765683,1,1,48,M,RS005,R10.4,45.23,2,2,0,7261716,2024-01-06,2024-05-09,auto,1200000,6.05143
6972176147787868,0,0,4,F,RS008,O80,72.0,3,4,2,7069240,2024-01-18,2024-05-10,manual,3500000,2.0197828571428573
7564809414736917,1,0,71,F,RS006,Z03.8,93.91,3,1,0,2698045,2024-03-01,2024-05-10,manual,1200000,2.2483708333333334
9563785405540290,1,1,23,F,RS006,M54.5,93.39,3,1,0,1443284,2024-04-02,2024-05-11,manual,1800000,0.8018244444444445
8874434686937598,1,1,61,F,RS004,E11,99.10,3,4,1,8224866,2024-04-16,2024-05-11,auto,2500000,3.2899464
7991896135964677,1,0,23,M,RS009,J18.9,93.94,3,2,1,9204883,2024-03-16,2024-05-13,auto,4200000,2.1916388095238095
7356070297812652,1,1,71,M,RS008,J18.9,93.94,2,3,1,4099868,2024-02-28,2024-05-15,manual,4200000,0.9761590476190476
3773502174197737,0,0,60,M,RS010,Z34.0,73.0,2,3,3,984109,2024-01-29,2024-05-15,auto,800000,1.23013625
5731760137436461,1,1,80,M,RS008,Z03.8,93.91,3,3,0,2098306,2024-01-01,2024-05-15,manual,1200000,1.7485883333333334
5888079935141854,1,1,6,M,RS001,K29.7,45.16,1,3,2,8890972,2024-03-01,2024-05-15,auto,1700000,5.229983529411765
0808443078577059,0,1,69,M,RS006,N39.0,57.94,1,4,0,2776994,2024-02-16,2024-05-16,manual,2200000,1.26227
7529783699025813,1,1,71,F,RS002,A09,45.23,2,4,1,8928269,2024-01-29,2024-05-16,auto,1300000,6.867899230769231
2937631950379424,1,1,2,M,RS005,K29.7,45.16,2,2,0,5243836,2024-02-06,2024-05-18,auto,1700000,3.084609411764706
4669365054300076,1,1,35,F,RS008,O80,72.0,2,1,4,3999595,2024-03-21,2024-05-18,auto,3500000,1.1427414285714286
1994861188031554,1,0,36,F,RS009,Z00.0,93.99,2,3,0,9347548,2024-02-22,2024-05-18,manual,700000,13.35364
9494696438329031,0,1,76,F,RS010,O80,72.0,3,4,2,6947528,2024-01-18,2024-05-18,auto,3500000,1.985008
3999832223991157,0,1,43,F,RS007,Z34.0,73.0,3,4,3,4415950,2024-04-03,2024-05-18,auto,800000,5.5199375
6184082623055333,0,1,42,M,RS006,O80,72.0,3,2,1,6370988,2024-02-16,2024-05-21,auto,3500000,1.8202822857142857
2653051756039798,0,0,41,M,RS007,E11,99.10,1,3,4,9945245,2024-02-27,2024-05-22,manual,2500000,3.978098
3279707258493046,1,1,60,M,RS004,A09,45.23,1,1,1,7072239,2024-03-05,2024-05-22,manual,1300000,5.440183846153846
3931689555239606,1,0,2,M,RS009,J18.9,96.04,3,2,1,8468852,2024-05-14,2024-05-22,auto,4200000,2.0163933333333333
4973829775419812,0,1,25,M,RS005,N39.0,57.98,2,2,2,6674695,2024-01-08,2024-05-22,manual,2200000,3.0339522727272725
1949812474308416,1,1,76,M,RS003,E11,99.10,1,2,2,1742752,2024-02-14,2024-05-23,auto,2500000,0.6971008
0598028765836173,1,1,65,F,RS009,R10.4,87.09,2,3,0,6470174,2024-05-17,2024-05-23,manual,1200000,5.3918116666666664
9519704057471303,1,0,80,M,RS010,K29.7,45.16,3,1,1,5073317,2024-05-11,2024-05-23,manual,1700000,2.9843041176470586
4948997898514829,1,1,16,F,RS006,E66.9,99.28,3,1,1,8388967,2024-02-17,2024-05-23,auto,1000000,8.388967
2452498976287226,1,1,78,F,RS007,O80,72.0,2,2,2,8370423,2024-03-12,2024-05-24,auto,3500000,2.3915494285714285
1804694688765683,1,1,48,M,RS005,Z00.0,93.99,2,1,0,4121994,2024-04-13,2024-05-25,auto,700000,5.888562857142857
6476747739829272,1,1,20,F,RS004,N39.0,57.98,2,3,3,5061438,2024-04-24,2024-05-25,manual,2200000,2.3006536363636365
2959587947260739,1,1,79,M,RS009,E66.9,99.28,1,4,1,3400501,2024-01-15,2024-05-27,manual,1000000,3.400501
6169692712016177,1,0,25,F,RS003,Z00.0,93.99,2,3,0,8377376,2024-04-27,2024-05-27,manual,700000,11.96768
9575395982033969,0,1,56,F,RS005,E66.9,99.28,1,4,1,1803332,2024-05-13,2024-05-27,auto,1000000,1.803332
2272881307634224,0,1,1,F,RS008,O80,72.0,2,3,3,7802019,2024-01-20,2024-05-27,manual,3500000,2.229148285714286
4669365054300076,1,1,35,F,RS008,Z34.0,73.0,3,1,2,6190820,2024-02-14,2024-05-27,auto,800000,7.738525
9730029854044707,1,1,68,M,RS006,I25.1,99.24,3,3,2,1505711,2024-03-01,2024-05-28,manual,5000000,0.3011422
6268317836288887,1,1,30,F,RS010,R10.4,45.23,1,4,2,498695,2024-03-15,2024-05-28,auto,1200000,0.41557916666666667
7398493674328705,1,1,50,M,RS005,Z03.8,93.91,1,3,0,8349404,2024-05-07,2024-05-29,auto,1200000,6.957836666666666
2056428785555514,0,1,31,F,RS007,E11,99.10,3,3,2,5674153,2024-05-01,2024-05-30,manual,2500000,2.2696612
7122359134634512,1,1,8,F,RS009,Z03.8,93.91,1,4,0,2525155,2024-05-09,2024-05-30,manual,1200000,2.1042958333333335
5500057006681866,1,1,84,F,RS001,Z34.0,73.0,1,2,3,1335977,2024-02-29,2024-05-30,manual,800000,1.66997125
6647485949473660,1,1,63,F,RS006,K21.0,45.16,2,2,2,3879308,2024-02-29,2024-05-30,auto,1400000,2.7709342857142856
6268317836288887,1,1,30,F,RS010,R10.4,45.23,2,3,1,9574822,2024-04-19,2024-05-30,manual,1200000,7.979018333333333
7291643879257421,0,1,45,M,RS010,A09,45.23,2,2,3,9165600,2024-04-09,2024-05-30,manual,1300000,7.050461538461539
6227300849406605,0,1,52,F,RS002,R10.4,87.09,3,1,0,3753378,2024-04-11,2024-05-30,manual,1200000,3.127815
4124204508930280,1,1,65,M,RS001,Z03.8,93.91,3,1,0,6329280,2024-03-02,2024-05-31,auto,1200000,5.2744
0777186281397697,1,1,33,M,RS001,A09,45.23,2,1,0,3953448,2024-03-02,2024-05-31,manual,1300000,3.0411138461538463
9035988094969622,1,1,89,F,RS005,A09,45.23,2,4,1,6673675,2024-05-24,2024-06-01,manual,1300000,5.133596153846153
8078806926248836,1,1,78,F,RS006,E11,99.10,1,4,2,2054532,2024-01-09,2024-06-01,auto,2500000,0.8218128
9934677224493339,1,0,73,F,RS007,J00,93.9,1,2,0,8114300,2024-01-27,2024-06-01,auto,500000,16.2286
9552685389578814,1,0,74,F,RS007,A09,45.23,1,3,1,6371987,2024-04-23,2024-06-01,auto,1300000,4.901528461538462
8202104832042024,1,1,4,M,RS003,J00,93.9,1,2,0,6046228,2024-04-18,2024-06-01,auto,500000,12.092456
1338292400331134,1,1,77,F,RS009,Z34.0,73.0,2,4,2,1051171,2024-03-30,2024-06-01,manual,800000,1.31396375
9125910376308540,1,1,64,F,RS005,A09,45.23,2,3,2,919953,2024-04-26,2024-06-01,auto,1300000,0.7076561538461539
0277125240087062,1,1,80,M,RS004,E11,99.10,3,4,2,6831953,2024-05-03,2024-06-01,manual,2500000,2.7327812
2058288071391914,1,1,40,M,RS007,R50.9,99.19,2,1,0,5188780,2024-03-28,2024-06-03,auto,1000000,5.18878
7068130882293285,0,1,83,F,RS007,K29.7,45.16,2,3,1,5604906,2024-03-13,2024-06-03,manual,1700000,3.2970035294117648
7804569773289670,1,0,65,F,RS008,O80,72.0,2,2,3,4984850,2024-03-28,2024-06-03,auto,3500000,1.4242428571428571
6967751291864984,1,1,6,M,RS002,E66.9,99.28,2,4,2,8307091,2024-04-09,2024-06-03,manual,1000000,8.307091
4403284524118245,0,0,59,M,RS010,I25.1,36.15,3,3,1,2492958,2024-01-20,2024-06-04,manual,5000000,0.4985916
0598028765836173,1,1,65,F,RS009,J18.9,96.04,1,4,0,8548486,2024-05-10,2024-06-04,auto,4200000,2.0353538095238095
3569671562354353,1,1,4,F,RS008,J45.9,93.96,1,2,0,714593,2024-04-16,2024-06-04,manual,2300000,0.3106926086956522
6534406524227827,0,1,20,M,RS006,O80,72.0,3,2,2,5329158,2024-02-10,2024-06-04,manual,3500000,1.5226165714285713
7333761625268544,1,1,85,F,RS007,N39.0,57.98,1,4,1,7354422,2024-03-06,2024-06-06,manual,2200000,3.342919090909091
1262264311427630,1,1,70,M,RS001,J18.9,96.04,3,1,0,6416042,2024-03-22,2024-06-08,auto,4200000,1.5276290476190477
0127586005610037,0,0,16,M,RS003,Z34.0,73.0,3,4,3,2982992,2024-05-31,2024-06-08,manual,800000,3.72874
5506099146869880,1,1,18,F,RS004,Z03.8,93.91,2,2,0,1665273,2024-05-18,2024-06-08,manual,1200000,1.3877275
8231782736277653,1,1,5,M,RS007,N39.0,57.94,3,1,3,6274816,2024-02-13,2024-06-11,auto,2200000,2.852189090909091
0820915394333076,1,1,13,M,RS005,I10,99.04,3,2,2,6596898,2024-05-01,2024-06-11,auto,2000000,3.298449
2141287560026288,1,1,59,F,RS004,R10.4,87.09,2,4,0,5563672,2024-02-19,2024-06-11,manual,1200000,4.636393333333333
3265097665690756,1,0,41,F,RS007,E11,99.10,2,1,1,9275497,2024-04-09,2024-06-11,auto,2500000,3.7101988
4106861308068869,1,0,26,F,RS005,E11,99.10,1,3,1,4353136,2024-04-12,2024-06-11,manual,2500000,1.7412544
6834967941500665,1,0,18,M,RS003,A09,45.23,1,4,0,3047487,2024-04-25,2024-06-12,auto,1300000,2.3442207692307693
8661714777806222,1,1,69,F,RS005,Z34.0,73.0,2,2,2,4907532,2024-05-03,2024-06-12,auto,800000,6.134415
6151670937396524,1,1,77,M,RS004,Z00.0,93.99,1,3,0,6301017,2024-06-07,2024-06-12,auto,700000,9.001452857142857
0073075960064860,1,0,46,F,RS005,R50.9,99.19,3,2,0,4383974,2024-01-05,2024-06-12,auto,1000000,4.383974
7283761099537279,1,1,33,M,RS001,E66.9,99.28,2,4,2,407523,2024-01-15,2024-06-12,auto,1000000,0.407523
5944932902790404,0,1,2,M,RS006,J18.9,96.04,1,4,0,3154026,2024-01-06,2024-06-12,manual,4200000,0.7509585714285715
9499830523423665,1,1,59,M,RS004,K21.0,45.16,3,4,3,1515740,2024-03-12,2024-06-13,manual,1400000,1.0826714285714285
3705483788553762,1,1,8,F,RS007,R50.9,99.19,3,3,0,7135005,2024-03-25,2024-06-13,auto,1000000,7.135005
9221730252048830,1,1,15,F,RS006,K21.0,45.16,3,1,0,7337901,2024-05-02,2024-06-13,auto,1400000,5.241357857142857
9311239288418364,1,1,42,M,RS006,Z34.0,73.0,3,4,2,6225390,2024-02-20,2024-06-14,auto,800000,7.7817375
7960552506623511,1,1,77,F,RS009,Z00.0,93.99,2,3,0,3193254,2024-03-28,2024-06-14,auto,700000,4.5617914285714285
9177255086043773,1,1,33,F,RS009,J00,93.9,2,4,0,6359224,2024-02-24,2024-06-14,auto,500000,12.718448
2229598609262457,0,1,84,M,RS003,R10.4,45.23,3,2,0,1526320,2024-06-08,2024-06-14,manual,1200000,1.2719333333333334
7011948972527272,1,1,72,M,RS003,J18.9,93.94,1,2,0,9863316,2024-06-11,2024-06-14,manual,4200000,2.3484085714285716
6092388103827119,1,1,88,F,RS002,H25.9,13.4,3,2,0,7399140,2024-04-23,2024-06-15,auto,7500000,0.986552
